,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
28,15.39944052696228,0.10989932800589655,0.941004196802775,0.01226015972726467,5,0.001,"{'poly__degree': 5, 'ridge__alpha': 0.001}",-0.0022656472865492105,-0.002262403490021825,-0.0022664156276732683,-0.0022648221347481012,1.7387675241749181e-06,19
29,14.659465471903482,0.4709407504595675,0.976704994837443,0.02377076530917792,5,0.01,"{'poly__degree': 5, 'ridge__alpha': 0.01}",-0.0022703169379383326,-0.0022662263363599777,-0.0022700289264321327,-0.002268857400243481,1.8641549517556004e-06,20
30,7.07929253578186,5.786998406792902,0.9179440339406332,0.005089044976136995,5,0.09999999999999999,"{'poly__degree': 5, 'ridge__alpha': 0.09999999999999999}",-0.0023737067822366953,-0.0024160968605428934,-0.002368851797655225,-0.002386218480144938,2.1219973770409188e-05,21
31,2.9568377335866294,0.01858035431525349,0.9017689228057861,0.027407436835206505,5,1.0,"{'poly__degree': 5, 'ridge__alpha': 1.0}",-0.002781764604151249,-0.0027885648887604475,-0.0027876701205968857,-0.0027859998711695275,3.016981665364553e-06,24
32,2.9723151524861655,0.01974673835454033,0.8829551537831625,0.021441594950016532,5,10.0,"{'poly__degree': 5, 'ridge__alpha': 10.0}",-0.0034259173553436995,-0.003413507714867592,-0.003401624970138073,-0.0034136833467831216,9.918102294019408e-06,28
33,2.942500352859497,0.017100627259643172,0.9097559452056885,0.033873795772476956,5,100.0,"{'poly__degree': 5, 'ridge__alpha': 100.0}",-0.0046661305241286755,-0.004646788816899061,-0.004633346106857061,-0.004648755149294932,1.3456209255163383e-05,37
34,2.89496644337972,0.012479186518042038,0.9742642243703207,0.04298259168587388,5,1000.0,"{'poly__degree': 5, 'ridge__alpha': 1000.0}",-0.005693209823220968,-0.005672613624483347,-0.005645241588354111,-0.005670355012019475,1.9647966591261106e-05,41
35,28.017726977666218,0.804288444479103,1.1932458877563477,0.17442215910372916,6,0.001,"{'poly__degree': 6, 'ridge__alpha': 0.001}",-0.001382282585836947,-0.0013784533366560936,-0.0013794611440971494,-0.0013800656888633966,1.6206774515747568e-06,9
36,27.60530376434326,0.44127232932073274,1.5674165884653728,0.6517625334940567,6,0.01,"{'poly__degree': 6, 'ridge__alpha': 0.01}",-0.0016738298581913114,-0.001670841476880014,-0.0016725962050259113,-0.0016724225133657455,1.2261680988717868e-06,11
37,27.576580047607422,0.2852515886763723,1.6135032176971436,0.7628884066462995,6,0.09999999999999999,"{'poly__degree': 6, 'ridge__alpha': 0.09999999999999999}",-0.002024577697739005,-0.002020391868427396,-0.0020224726758897305,-0.0020224807473520436,1.708867191613543e-06,16
